红楼梦原文,English Translation
空空 道人 乃 从头 一 看 ， 原来 是 无 才 补 天 、 幻形 入世 、 被 那 茫茫 大士 渺渺 真人 携入 红尘 、 引登 彼岸 的 一块 顽石 ：,"Vanitas read the inscription through from beginning to end and learned that this was a once lifeless stone block which had been found unworthy to repair the sky , but which had magically transformed its shape and been taken down by the Buddhist mahasattva Impervioso and the Taoist illuminate Mysterioso into the world of mortals , where it had lived out the life of a man before finally attaining nirvana and returning to the other shore ."
上面 叙 着 堕落 之 乡 ， 投胎 之 处 ， 以及 家庭 琐事 ， 闺阁 闲情 ， 诗词 谜语 ， 倒 还 全备 。,"The inscription named the country where it had been born , and went into considerable detail about its domestic life , youthful amours , and even the verses , mottoes and riddles it had written ."
只是 朝代 年纪 ， 失落 无考 。,All it lacked was the authentication of a dynasty and date .
后面 又 有 一 偈 云 ：,On the back of the stone was inscribed the following quatrain :
无才 可去 补 苍天 ，,Found unfit to repair the azure sky
枉入 红尘 若 许年 ；,Long years a foolish mortal man was I.
此 系 身前 身后事 ，,My life in both worlds on this stone is writ :
倩 谁 记去 作奇 传 ？,Pray who will copy out and publish it ?
空空 道人 看 了 一回 ， 晓得 这 石头 有些 来历 ， 遂 向 石头 说道 ： “ 石兄 ， 你 这 一段 故事 ， 据 你 自己 说来 ， 有些 趣味 ， 故 镌写 在 此 ， 意欲 闻世 传奇 ；,"From his reading of the inscription Vanitas realized that this was a stone of some consequence . Accordingly he addressed himself to it in the following manner : ' Brother Stone , according to what you yourself seem to imply in these verses , this story of yours contains matter of sufficient interest to merit publication and has been carved here with that end in view ."
据 我 看来 ， 第一件 ， 无 朝代 年纪 可 考 ， 第二件 ， 并 无 大贤 大忠 、 理 朝廷 、 治 风俗 的 善政 ， 其中 只不过 几个 异样 女子 ， 或 情 或 痴 ， 或 小 才 微善 ， 我 纵然 抄去 ， 也 算不得 一种 奇书 。 ”,"But as far as I can see ( a ) it has no discoverable dynastic period , and ( b ) it contains no examples of moral grandeur among its characters - no statesmanship , no social message of any kind . All I can find in it , in fact , are a number of females , conspicuous , if at all , only for their passion or folly or for some trifling talent or insignificant virtue . Even if I were to copy all this out , I can not see that it would make a very remarkable book . '"
石头 果然 答道 ： “ 我 师 何必 太痴 ！,"' Come , your reverence , ' said the stone ( for Vanitas had been correct in assuming that it could speak ) ' must you be so obtuse ?"
我 想 历来 野史 的 朝代 ， 无非 假借 ‘ 汉 ’ ‘ 唐 ’ 的 名色 ；,All the romances ever written have an artificial period setting - Han or Tang for the most part .
莫如 我 这 石头 所记 ， 不 借此 套 ， 只 按 自己 的 事体 情理 ， 反倒 新鲜 别致 。,"In refusing to make use of that stale old convention and telling my Story of the Stone exactly as it occurred , it seems to me that , far from depriving it of anything , I have given it a freshness these other books do not have ."
况且 那 野史 中 ， 或 讪谤 君相 ， 或 贬 人 妻女 ， 奸淫 凶恶 ， 不可胜数 ， 更 有 一种 风月 笔墨 ， 其 淫秽 污臭 ， 最易 坏人 子弟 。,"' Your so-called "" historical romances "" , consisting , as they do , of scandalous anecdotes about statesmen and emperors of bygone days and scabrous attacks on the reputations of long-dead gentlewomen , contain more wickedness and immorality than I care to mention . Still worse is the "" erotic novel "" , by whose filthy obscenities our young folk are all too easily corrupted ."
至于 才子佳人 等 书 ， 则 又 开口 ‘ 文君 ’ ， 满篇 ‘ 子建 ’ ， 千部一腔 ， 千人一面 ， 且 终 不能不 涉淫 滥 。,"And the "" boudoir romances "" , those dreary stereotypes with their volume after volume all pitched on the same note and their different characters undistinguishable except by name ( all those ideally beautiful young ladies and ideally eligible young bachelors ) - even they seem unable to avoid descending sooner or later into indecency ."
— — 在 作者 不过 要 写出 自己 的 两首 情诗 艳 赋来 ， 故假 捏出 男女 二人 名姓 ， 又 必旁添 一小 人 拨乱 其间 ， 如 戏 中 的 小丑 一般 。,"' The trouble with this last kind of romance is that it only gets written in the first place because the author requires a framework in which to show off his love-poems . He goes about constructing this framework quite mechanically , beginning with the names of his pair of young lovers and invariably adding a third character , a servant or the like , to make mischief between them , like the chou in a comedy ."
更 可厌 者 ， ‘ 之乎者也 ’ ， 非理 即 文 ， 大 不 近情 ， 自相矛盾 ：,"' What makes these romances even more detestable is the stilted , bombastic language - inanities dressed in pompous rhetoric , remote alike from nature and common sense and teeming with the grossest absurdities ."
竟 不如 我 这 半世 亲见亲闻 的 几个 女子 ， 虽 不敢 说 强似 前 代书 中 所有 之 人 ， 但 观 其 事迹 原委 ， 亦可 消愁 破闷 ；,"' Surely my ' number of females ' , whom I spent half a lifetime studying with my own eyes and ears , are preferable to this kind of stuff ? I do not claim that they are better people than the ones who appear in books written before my time ; I am only saying that the contemplation of their actions and motives may prove a more effective antidote to boredom and melancholy ."
至于 几首 歪诗 ， 也 可以 喷饭 供酒 ；,And even the inelegant verses with which my story is interlarded could serve to entertain and amuse on those convivial occasions when rhymes and riddles are in demand .
其间 离合悲欢 ， 兴衰 际遇 ， 俱 是 按迹循踪 ， 不敢 稍加 穿凿 ， 至 失 其 真 。,"' All that my story narrates , the meetings and partings , the joys and sorrows , the ups and downs of fortune , are recorded exactly as they happened . I have not dared to add the tiniest bit of touching-up , for fear of losing the true picture ."
只 愿 世人 当 那 醉 余 睡醒 之 时 ， 或 避事 消愁 之际 ， 把 此一 玩 ， 不 但是 洗 旧 翻新 ， 却 也 省 了 些 寿命 筋力 ， 不 更 去 谋虚逐妄 了 。,"' My only wish is that men in the world below may sometimes pick up this tale when they are recovering from sleep or drunkenness , or when they wish to escape from business worries or a fit of the dumps , and in doing so find not only mental refreshment but even perhaps , if they will heed its lesson and abandon their vain and frivolous pursuits , some small arrest in the deterioration of their vital forces ."
我 师意 为 如何 ？ ”,What does your reverence say to that ? '
空空 道人 听 如此 说 ， 思忖 半晌 ， 将 这 《 石头记 》 再 检阅 一遍 ， 因见 上面 大旨 不过 谈情 ， 亦 只是 实录 其 事 ， 绝无 伤 时 诲淫 之病 ， 方 从头至尾 抄写 回来 ， 闻世 传奇 。,"For a long time Vanitas stood lost in thought , pondering this speech . He then subjected the Story of the Stone to a careful second reading . He could see that its main theme was love ; that it consisted quite simply of a true record of real events ; and that it was entirely free from any tendency to deprave and corrupt ."
从此 空空 道人 因 空见色 ， 由 色 生情 ， 传情 入色 ， 自色 悟空 ， 遂 改名 情僧 ， 改 《 石头记 》 为 《 情僧 录 》 。,"He therefore copied it all out from beginning to end and took it back with him to look for a publisher . As a consequence of all this , Vanitas , starting off in the Void ( which is Truth ) came to the contemplation of Form ( which is Illusion ) ; and from Form engendered Passion ; and by communicating Passion , entered again into Form ; and from Form awoke to the Void ( which is Truth ) . He therefore changed his name from Vanitas to Brother Amor , or the Passionate Monk , ( because he had approached Truth by way of Passion ) , and changed the title of the book from The Story of the Stone to The Tale of Brother Amor ."
东鲁 孔梅 溪题 日 《 风月 宝鉴 》 。,Old Kong Mei-xi from the homeland of Confucius called the book 4 Mirror for the Romantic .
至 吴玉峰 题 曰 《 红楼梦 》 。,Wu Yu-feng called it 4 Dream of Golden Days .
后 因 曹雪芹 于悼红轩 中 ， 披阅 十载 ， 增删 五次 ， 纂成 目录 ， 分出 章回 ， 又题 曰 《 金陵 十二钗 》 ； 并题一绝 。,"Cao Xueqin in his Nostalgia Studio worked on it for ten years , in the course of which he rewrote it no less than five times , dividing it into chapters , composing chapter headings , renaming it The Twelve Beauties of Jinling , and adding an introductory quatrain ."
至 脂砚斋 ［ 甲戌 ］ 抄阅 再 评 ， 仍 用 《 石头记 》 。,Red Inkstone restored the original title when he recopied the book and added his second set of annotations to it .
即此 便是 《 石头记 》 的 缘起 。 诗云 ：,"This , then , is a true account of how The Story of the Stone came to be written ."
满纸 荒唐言 ，,Puges full o idle words
一把 辛酸泪 ！,Penned with hot and bitter tears :
都云 作者 痴 ，,Al men call the author fool ;
谁 解 其中 味 ？,None his secret message hears .
《 石头记 》 缘起 既 明 ， 正 不知 那 石头 上面 记 着 何人 何事 ， 看官 请 听 — —,"The origin of The Story of the Stone has now been made clear . The same can not , however , be said of the characters and events which it recorded . Gentle reader , have patience !"
按 那 石上书 云 ：,This is how the inscription began :
当日 地陷 东南 ， 这 东南 有个 姑苏 城 ， 城中 阊 门 ， 最 是 红尘 中 一二 等 富贵 风流 之 地 。,"Long , long ago the world was tilted downwards towards the south-east ; and in that lower-lying south-easterly part of the earth there is a city called Soochow ; and in Soochow the district around the Chang-men Gate is reckoned one of the two or three wealthiest and most fashionable quarters in the world of men ."
这 阊 门外 有个 十里 街 ， 街内 有个 仁清巷 ， 巷内 有个 古庙 ， 因 地方 狭窄 ， 人 皆 呼作 “ 葫芦 庙 ” 。,"Outside the Chang-men Gate is a wide thorough-fare called Worldly Way ; and somewhere off Worldly Way is an area called Carnal Lane . There is an old temple in the Carnal Lane area which , because of the way it is bottled up inside a narrow cul-de-sac , is referred to locally as Bottle-gourd Temple ."
庙 旁 住 着 一家 乡宦 ， 姓 甄 名费 ， 字士 隐 ； 嫡妻 封氏 ， 性情 贤淑 ， 深 明礼义 ， 家中 虽不甚 富贵 ， 然 本地 也 推 他 为 望族 了 。,"Next door to Bottle-gourd Temple lived a gentleman of private means called Zhen Shi-yin and his wife Feng-shi , a kind , good woman with a profound sense of decency and decorum . The household was not a particularly wealthy one , but they were nevertheless looked up to by all and sundry as the leading family in the neighbourhood ."
因 这 甄士隐 禀性 恬淡 ， 不 以 功名 为 念 ， 每日 只以 观 花种 竹 、 酌酒 吟诗 为 乐 ， 倒 是 神仙 一流 人物 ； 只是 一件 不足 ： 年过半百 ， 膝下 无儿 ； 只有 一 女 ， 乳名 英莲 ， 年 方 三岁 。,"Zhen Shi-yin himself was by nature a quiet and totally unambitious person . He devoted his time to his garden and to the pleasures of wine and poetry . Except for a single flaw , his existence could , indeed , have been described as an idyllic one . The flaw was that , although already past fifty , he had no son , only a little girl , just two years old , whose name was Ying-lian ."
一日 炎夏 永昼 ， 士隐 于 书房 闲坐 ， 手 倦 抛 书 ， 伏 几 盹 睡 ， 不觉 蒙胧 中 走 至 一处 ， 不辨 是 何 地方 。 忽 见 那 厢 来 了 一 僧 一道 ， 且 行 且 谈 ， 只 听 道人 问道 ： “ 你 携 了 此物 ， 意欲 何往 ？ ”,"Once , during the tedium of a burning summer 's day , Shi-yin was sitting idly in his study . The book had slipped from his nerveless grasp and his head had nodded down onto the desk in a doze . While in this drowsy state he seemed to drift off to some place he could not identify , where he became aware of a monk and a Taoist walking along and talking as they went . ' Where do you intend to take that thing you are carrying ? ' the Taoist was asking ."
那僧笑 道 ： “ 你 放心 ！,' Do not you worry about him ! ' replied the monk with a laugh .
如今 现有 一段 风流 公案 ， 正 该 了结 ， 这 一干 风流 冤家 尚未 投胎 入世 ， 趁此机会 ， 就 将 此物 夹带 于 中 ， 使 他 去 经历 经历 。 ”,' There is a batch of lovesick souls awaiting incarnation in the world below whose fate is due to be decided this very day . I intend to take advantage of this opportunity to slip our little friend in amongst them and let him have a taste of human life along with the rest .
那道人 道 ： “ 原来 近日 风流 冤家 又 将 造劫 历世 ， 但 不知 起于 何处 ？,"' Well , well , so another lot of these amorous wretches is about to enter the vale of tears , ' said the Taoist . ' How did all this begin ?"
落 于 何方 ？ ”,And where are the souls to be reborn ? '
那僧道 ： “ 此事 说来 好笑 。,"' You will laugh when I tell you , ' said the monk ."
只 因 当年 这个 石头 ， 蜗皇 未 用 ， 自己 却 也 落得 逍遥自在 ， 各处 去 游玩 ， 一日 来到 警幻 仙子 处 ， 那 仙子 知 他 有些 来历 ， 因 留 他 在 赤霞 宫中 ， 名 他 为 赤霞宫 神瑛侍者 。,"' ' When this stone was left unused by the goddess , he found himself at a loose end and took to wandering about all over the place for want of better to do , until one day his wanderings took him to the place where the fairy Disenchantment lives . ' Now Disenchantment could tell that there was something unusual about this stone , so she kept him there in her Sunset Glow Palace and gave him the honorary title of Divine Luminescent Stone-in-Waiting in the Court of Sunset Glow ."
他 却常 在 西方 灵 河岸 上 行走 ， 看见 那灵 河岸 上 三生石 畔 有 棵 ， 绛 珠 仙草 二十分 娇娜 可爱 ， 遂 日 以 甘露 灌溉 ， 这 ‘ 绛 珠草 ’ 始得 久 延 岁月 。,"' But most of his time he spent west of Sunset Glow exploring the banks of the Magic River . There , by the Rock of Rebirth , he found the beautiful Crimson Pearl Flower , for which he conceived such a fancy that he took to watering her every day with sweet dew , thereby conferring on her the gift of life ."
后来 既 受 天地 精华 ， 复 得 甘露 滋养 ， 遂 脱 了 草木 之 胎 ， 幻化 人形 ， 仅仅 修成 女体 ， 终日 游于 ‘ 离恨 天 ’ 外 ； 饥餐 ‘ 秘情 果 ’ ， 渴 饮 ‘ 灌愁 水 ’ 。,"' Crimson Pearl 's substance was composed of the purest cosmic essences , so she was already half-divine ; and now thanks to the vitalizing effect of the sweet dew , she was able to shed her vegetable shape and assume the form of a girl . ' This fairy girl wandered about outside the Realm of Separation , eating the Secret Passion Fruit when she was hungry and drinking from the Pool of Sadness when she was thirsty ."
只 因 尚未 酬报 灌溉 之德 ， 故 甚至 五 内 郁结 着 一段 缠绵 不尽 之 意 ， 常 说 ‘ 自己 受 了 他 雨露 之 惠 ， 我 并 无此 水 可 还 ， 他 若 下世 为 人 ， 我 也 同去 走一遭 ， 但 把 我 一生 所有 的 眼泪 还 他 ， 也 还 得 过 了 。 ’,"The consciousness that she owed the stone something for his kindness in watering her began to prey on her mind and ended by becoming an obsession . "" I have no sweet dew here that I can repay him with , "" she would say to herself "" The only way in which I could perhaps repay him would be with the tears shed during the whole of a mortal lifetime if he and I were ever to be reborn as humans in the world below . """
因此 一事 ， 就 勾出 多少 风流 冤家 都 要 下凡 ， 造历 幻缘 ； 那 ‘ 绛 珠 仙草 ’ 也 在 其中 。,"' Because of this strange affair , Disenchantment has got together a group of amorous young souls , of which Crimson Pearl is one , and intends to send them down into the world to take part in the great illusion of human lite ."
今日 这 石正 该 下世 ， 我 来 特地 将 他 仍 带到 警幻 仙子 案 前 ， 给 他 挂 了 号 ， 同 这些 情鬼 下凡 ， 一 了 此案 。 ”,"And as today happens to be the day on which this stone is fated to go into the world too , I am taking him with me to Disenchantment 's tribunal for the purpose of getting him registered and sent down to earth with the rest of these romantic creatures . '"
那道人 道 ： “ 果是 好笑 ， 从来不 闻有 ‘ 还泪 ’ 之 说 ！,' How very amusing ! ' said the Taoist . ' I have certainly never heard of a debt of tears before .
趁此 你 我 何不 也 下世 度脱 几个 ， 岂不是 一场 功德 ？ ”,Why should not the two of us take advantage of this opportunity to go down into the world ourselves and save a few souls ? It would be a work of merit . '
那僧道 ： “ 正合 吾 意 。,"' That is exactly what I was thinking , ' said the monk ."
你 且 同 我 到 警幻 仙子 宫中 ， 将 这 ‘ 蠢物 ’ 交割 清楚 ， 待 这 一干 风流 孽 鬼 下世 ， 你 我 再 去 。,"' Come with me to Disenchantment 's palace to get this absurd creature cleared . Then , when this last batch of romantic idiots goes down , you and I can go down with them ."
— — 如今 有 一半 落尘 ， 然 犹 未 全集 。 ”,At present about half have already been born . They await this last batch to make up the number . '
道人 道 ： “ 既 如此 ， 便 随 你 去 来 。 ”,"' Very good , I will go with you then , said the Taoist ."
却说 甄士隐 俱 听 得 明白 ， 遂 不禁 上前 施礼 ， 笑 问道 ： “ 二位 仙师 请 了 。 ”,"Shi-yin heard all this conversation quite clearly , and curiosity impelled him to go forward and greet the two reverend gentlemen ."
那僧道 也 忙 答礼 相问 ， 士隐 因 说道 ： “ 适闻 仙师 所谈 因果 ， 实 人世 罕闻 者 ；,"They returned his greeting and asked him what he wanted . ' It is not often that one has the opportunity of listening to a discussion of the operations of karma such as the one I have just been privileged to overhear , ' said Shi-yin ."
但 弟子 愚拙 ， 不能 洞悉 明白 ， 若蒙 大开痴顽 ， 备 细一闻 ， 弟子 洗耳 谛听 ， 稍 能 警省 ， 亦可 免 沉沦 之 苦 了 。 ”,"' Unfortunately I am a man of very limited understanding and have not been able to derive the full benefit from your conversation . If you would have the very great kindness to enlighten my benighted understanding with a somewhat fuller account of what you were discussing , I can promise you the most devout attention . I feel sure that your teaching would have a salutary effect on me and - who knows - might save me from the pains of hell . '"
二仙 笑 道 ： “ 此 乃 玄机 ， 不可 预泄 。,The reverend gentlemen laughed . ' These are heavenly mysteries and may not be divulged .
到 那时 只 不要 忘 了 我 二人 ， 便 可 跳出火坑 矣 。 ”,"But if you wish to escape from the fiery pit , you have only to remember us when the time comes , and all will be well . '"
士隐 听 了 ， 不便 再 问 ， 因 笑 道 ： “ 玄机 固 不可 泄露 ， 但 适云 ‘ 蠢物 ’ ， 不知 为何 ？,"Shi-yin saw that it would be useless to press them . ' Heavenly mysteries must not , of course , be revealed . But might one perhaps inquire what the ' absurd creature ' is that you were talking about ?"
或 可得 见否 ？ ”,Is it possible that I might be allowed to see it ? '
那僧 说 ： “ 若 问 此物 ， 倒有 一面之缘 。 ” 说 着 取出 递 与 士隐 。,"' Oh , as for that , said the monk : ' I think it is on the cards for you to have a look at him , ' and he took the object from his sleeve and handed it to Shi-yin ."
士隐 接 了 看 时 ， 原来 是 块 鲜明 美玉 ， 上面 字迹 分明 ， 镌 着 “ 通灵宝玉 ” 四 字 。,"Shi-yin took the object from him and saw that it was a clear , beautiful jade on one side of which were carved the words ' Magic Jade ' ."
后面 还有 几行 小字 ， 正 欲 细看 时 ， 那僧 便 说 “ 已 到 幻境 ” ， 就 强 从 手中 夺 了 去 ， 和 那道人 竟 过 了 一座 大石 牌坊 ， — — 上面 大书四字 ， 乃是 “ 太虚幻境 ” ；,"There were several columns of smaller characters on the back , which Shi-yin was just going to examine more closely when the monk , with a cry of ' Here we are , at the frontier of Illusion ' , snatched the stone from him and disappeared , with the Taoist , through a big stone archway above which THE LAND OF ILLUSION was written in large characters ."
两边 又 有 一副 对联 道 ：,A couplet in smaller characters was inscribed vertically on either side of the arch :
假作 真时 真 亦 假 ，,Truth becomes fiction when the fiction 's true ;
无为 有 处有 还 无 。,Real becomes not-real where the unreal 's real .
士隐 意欲 也 跟着 过去 ， 方 举步 时 ， 忽 听 一声 霹雳 ， 若 山崩地陷 ， 士隐 大叫 一声 ， — — 定睛 看 时 ， 只见 烈日炎炎 ， 芭蕉 冉冉 ， 梦 中 之 事 ， 便 忘 了 一半 。 又 见 奶母 抱 了 英莲 走来 。,"Shi-yin was on the point of following them through the archway when suddenly a great clap of thunder seemed to shake the earth to its very foundations , making him cry out in alarm . And there he was sitting in his study , the contents of his dream already half forgotten , with the sun still blazing on the ever-rustling plantains outside , and the wet-nurse at the door with his little daughter Ying-lian in her arms ."
士隐 见 女儿 越 发生 得 粉装玉琢 ， 乖觉 可喜 ， 便 伸手 接 来 ， 抱 在 怀中 ， 斗 他 玩耍 一回 ， 又 带 至 街前 看 那 过会 的 热闹 。,"Her delicate little pink-and-white face seemed dearer to him than ever at that moment , and he stretched out his arms to take her and hugged her to him . After playing with her for a while at his desk , he carried her out to the front of the house to watch the bustle in the street ."
方欲 进来 时 ， 只见 从 那边 来 了 一 僧 一道 ： 那僧 癞头 跣足 ， 那 道 跛足 蓬头 ， 疯疯癫癫 ， 挥霍 谈笑 而至 。,"He was about to go in again when he saw a monk and a Taoist approaching , the monk scabby-headed and barefoot , the Taoist tousle-haired and limping . They were behaving like madmen , shouting with laughter and gesticulating wildly as they walked along ."
及 到 了 他 门前 ， 看见 士隐 抱 着 英莲 ， 那僧 便 大哭 起来 ， 又 向士隐 道 ： “ 施主 ， 你 把 这 有 命 无 运 、 累及 爹娘 之 物 抱 在 怀内 作 甚 ？ ”,"When this strange pair reached Shi-yin 's door and saw him standing there holding Ying-lian , the monk burst into loud sobs . ' Patron , ' he said , addressing Shi-yin , ' what are you doing , holding in your arms that ill-fated creature who is destined to involve both her parents in her own misfortune ? '"
士隐 听 了 ， 知是 疯话 ， 也 不睬 他 ， 那僧 还 说 ： “ 舍 我 罢 ！ 舍 我 罢 ！ ”,Shi-yin realized that he was listening to the words of a madman and took no notice . But the monk persisted : ' Give her to me ! Give her to me ! '
士隐 不耐烦 ， 便 抱 着 女儿 转身 才 要 进去 ， 那僧乃 指着 他 大笑 ， 口内 念 了 四句 言词 ， 道 是 ：,"Shi-yin was beginning to lose patience and , clasping his little girl tightly to him , turned on his heel and was about to re-enter the house when the monk pointed his finger at him , roared with laughter , and then proceeded to intone the following verse :"
惯养 娇生 笑 你 痴 ，,"' Fond man , your pampered child to cherish so -"
菱花 空 对 雪 新 淅 ；,That caltrop-glass which shines on melting snow !
好 防 佳节 元宵 后 ，,"Beware the high feast c the fifteenth day ,"
便是 烟消火灭 时 。,When all in smoke and fire shall pass away ! ' '
士隐 听 得 明白 ， 心下 犹豫 ， 意欲 问 他 来历 ， 只 听 道人 说道 ： “ 你 我 不必 同行 ， 就此 分手 ， 各 干 营生 去 罢 ， 三 劫后 我 在 北 邙山 等 你 ， 会 齐 了 ， 同 往 太虚幻境 销号 。 ”,"Shi-yin heard all this quite plainly and was a little worried by it . He was thinking of asking the monk what lay behind these puzzling words when he heard the Taoist say , ' We do not need to stay together . Why do not we part company here and each go about his own business ? Three kalpas from now I shall wait for you on Bei-mang Hill . Having joined forces again there , we can go together to the Land of Illusion to sign off . '"
那僧道 ： “ 最妙 ， 最妙 ！ ”,' Excellent ! ' said the other .
说 毕 ， 二人 一去 再 不见 个 踪影 了 。,And the two of them went off and soon were both lost to sight .
士隐 心中 此时 自忖 ： 这 两个 人 必 有 来历 ， 很 该 问 他一 问 ， 如今 后悔 却 已 晚 了 。,"' There must have been something behind all this , ' thought Shi-yin to himself . ' I really ought to have asked him what he meant , but now it is too late . '"
这 士隐 正在 痴想 ， 忽 见 隔壁 葫芦 庙 内 寄居 的 一个 穷 儒 — — 姓 贾名化 、 表字 时 飞 、 别号 雨村 的 走来 。,"He was still standing outside his door brooding when Jia Yu-cun , the poor student who lodged at the Bottle-gourd Temple next door , came up to him ."
这 贾雨村 原系 湖州 人氏 ， 也 是 诗书 仕宦 之族 ， 因 他 生于 末世 ， 父母 祖宗 根基 已尽 ， 人口 衰丧 ， 只 剩得 他 一身 一口 ， 在 家乡 无益 ， 因 进京 求取 功名 ， 再整 基业 。,"Yu-cun was a native of Hu-zhou and came from a family of scholars and bureaucrats which had , however , fallen on bad times when Yu-cun was born . The family fortunes on both his father 's and mother 's side had all been spent , and the members of the family had themselves gradually died off until only Yu-cun was left . There were no prospects for him in his home town , so he had set of for the capital , in search of fame and fortune ."
自 前 岁 来 此 ， 又 淹 蹇 住 了 ， 暂 寄 庙 中 安身 ， 每日 卖文 作字 为生 ， 故士 隐常 与 他 交接 。,"Unfortunately he had got no further than Soochow when his funds ran out , and he had now been living there in poverty for a year , lodging in this temple and keeping himself alive by working as a copyist . For this reason Shi-yin saw a great deal of his company ."
当 下雨 村 见 了 士隐 ， 忙 施礼 陪笑 道 ： “ 老先生 倚门 伫望 ， 敢 街市 上有 甚 新闻 么 ？ ”,"As soon as he caught sight of Shi-yin , Yu-cun clasped his hands in greeting and smiled ingratiatingly . ' I could see you standing there gazing , sir . Has anything been happening in the street ? '"
士隐 笑 道 ： “ 非 也 ， 适因 小女 啼哭 ， 引 他 出来 作耍 ， — — 正是 无聊 的 很 ， 贾兄 来得 正好 。,"' No , no , ' said Shi-yin . ' It just happened that my little girl was crying , so I brought her out here to amuse her . Your coming is most opportune , dear boy . I was beginning to feel most dreadfully bored ."
请入 小斋 ， 彼此 俱 可消 此 永 昼 。 ”,"Will not you come into my little den , and we can help each other to while away this tedious hot day ? '"
说 着 ， 便 令人 送 女儿 进去 ， 自 携 了 雨村 ， 来 至 书房 中 ， 小童 献 茶 ， — — 方 谈 得 三五句 话 ， 忽 家人 飞报 ： “ 严老爷 来 拜 。 ”,"So saying , he called for a servant to take the child indoors , while he himself took Yu-cun by the hand and led him into his study , where his boy served them both with tea . But they had not exchanged half-a-dozen words before one of the servants rushed in to say that ' Mr Yan had come to pay a call . '"
